Assets - Total,Cash,Debt in Current Liabilities - Total,Long-Term Debt - Total,Earnings Before Interest,Gross Profit (Loss),Liabilities - Total,Retained Earnings,total asset/total libiilities,EBTI/total asset,gross profit/rev,EBTI/REV,Stockholders Equity - Total,Interest and Related Expense - Total,Book Value Per Share,Inventories - Total,Operating Activities,Credit Score
43771.0,994.0,1708.0,16196.0,6585.0,13139.0,41750.0,-13121.0,1.048407186,0.150442074,0.308065651,0.154396249,2021.0,915.0,2.8976,1004.0,315.0,B+
14313.532,7.604,530.97,3031.215,1228.6,1228.6,9794.43,1857.924,1.461395099,0.085834859,0.351869842,0.351869842,4519.102,200.95,39.4994,255.986,178.88099999999997,A-
41275.0,4063.0,4437.0,3408.0,4475.0,12088.0,19636.0,17821.0,2.102006519,0.10841914,0.59702672,0.221020398,21639.0,150.0,14.2742,2643.0,2742.0,A+
2210.772,466.829,0.0,0.0,134.767,308.828,165.461,1759.236,13.36128755,0.060959249,0.467754663,0.204119745,2045.311,2.798,32.4818,149.402,45.80199999999999,BB+
53402.1,1420.4,729.3,7852.0,4848.7,15091.5,38850.3,9940.4,1.374560814,0.090796055,0.260183921,0.083593664,14551.8,329.3,41.4025,0.0,1235.0,A
17779.1,336.6,1294.0,4824.5,2560.6,3761.3,9970.5,8751.3,1.783170353,0.144023038,0.36031229,0.245291695,7521.4,158.1,34.4939,861.4,661.3999999999999,A
6181.0,107.0,117.0,686.0,1226.0,1733.0,4054.0,1834.0,1.524666996,0.198349782,0.322839046,0.228390462,2127.0,48.0,16.1772,58.0,462.0,BBB-
38578.0,2444.0,68.0,5919.0,5486.0,6709.0,16258.0,18642.0,2.372862591,0.142205402,0.624848654,0.510943467,22320.0,399.0,77.6847,527.0,3835.0,BBB
919.855,22.971,3.828,390.825,114.072,181.062,668.518,85.615,1.375961455,0.12401085,0.404688307,0.254960204,251.337,10.677,11.6193,0.0,-366.793,BB
59633.0,163.0,3960.0,16622.0,5216.0,5216.0,42809.0,7303.0,1.393001472,0.087468348,0.306462985,0.306462985,16824.0,929.0,34.3685,1325.0,162.0,BBB
159103.0,22288.0,15559.0,45876.0,9975.0,9975.0,138430.0,7594.0,1.149339016,0.062695235,0.282738095,0.282738095,20673.0,802.0,19.4751,0.0,-11.0,BBB+
6420.963,377.615,286.201,1427.825,1037.17,1499.807,3181.402,3203.029,2.018280934,0.16152873,0.372904133,0.2578765,3239.561,79.928,13.4235,495.896,-24.13900000000001,BBB+
69009.0,3731.0,500.0,30215.0,8956.0,17936.0,43231.0,-4632.0,1.596285073,0.129780174,0.893983951,0.446393859,25778.0,1089.0,33.9006,2647.0,2877.0,A
6859.69,569.233,0.0,872.789,965.515,1946.138,2101.793,4062.97,3.263732442,0.140751987,0.679334104,0.337030194,4757.897,34.784,15.2886,367.927,576.6099999999999,A-
11879.942,501.149,6.19,4348.859,1740.519,2299.133,6961.153,3650.694,1.706605501,0.146509049,0.337899241,0.255800795,4918.789,202.348,16.9609,230.067,-69.84799999999996,BBB
55952.0,769.0,0.0,11245.0,4884.0,5318.0,27815.0,16133.0,2.011576488,0.087289105,0.386791767,0.355225835,28137.0,505.0,68.8889,708.0,794.0,A-
231839.0,13844.0,6308.0,28987.0,60449.0,78483.0,120292.0,88234.0,1.927301899,0.260736977,0.429349818,0.330692853,111547.0,384.0,19.0153,2111.0,37549.0,AA+
13174.0,3002.0,0.0,1947.0,1973.0,4194.0,5306.0,12996.0,2.482849604,0.149764688,0.462301587,0.217482363,7868.0,95.0,6.4439,1567.0,348.0,A-
1856.879,109.012,4.5,385.5,250.748,582.341,855.168,1281.194,2.171361651,0.13503734,0.415998863,0.179123371,1001.711,26.045,15.1122,162.62,380.992,BB+
44027.0,1099.0,132.0,5558.0,3836.0,5645.0,24397.0,14460.0,1.804607124,0.087128353,0.069518848,0.047240798,19630.0,355.0,30.73,9374.0,3577.0,A
12442.856,400.355,13.454,2075.453,1036.146,2995.895,8283.945,4112.137,1.502044738,0.083272361,0.131579687,0.045507525,4158.911,121.537,43.3179,2335.257,434.8860000000001,BBB-
10951.0,1393.0,338.0,2942.0,574.0,1823.0,7368.0,3582.0,1.486292074,0.052415305,0.297827152,0.093775527,3583.0,173.0,51.1857,765.0,1034.0,BB
17689.0,595.0,103.0,7285.0,1688.0,1688.0,11409.0,2996.0,1.550442633,0.095426536,0.370663153,0.370663153,6280.0,373.0,27.5141,110.0,-236.0,A
4507.228,80.08,11.885,1742.122,550.139,611.6,1951.704,2289.698,2.309380931,0.12205706,0.52097486,0.468620975,2555.524,71.803,39.7055,132.368,-462.905,BB
